ilce;mahalle;nufus
Bağcılar;100. Yıl Mahallesi;45610
Bağcılar;15 Temmuz Mahallesi;50175
Esenler;15 Temmuz Mahallesi;9809
Bağcılar;Bağlar Mahallesi;16993
Bağcılar;Çınar Mahallesi;32974
Esenyurt;Çınar Mahallesi;31640
Maltepe;Çınar Mahallesi;20702
Bağcılar;Demirkapı Mahallesi;54498
Bağcılar;Fevzi Çakmak Mahallesi;32364
Bahçelievler;Fevzi Çakmak Mahallesi;23271
Esenler;Fevzi Çakmak Mahallesi;30675
Gaziosmanpaşa;Fevzi Çakmak Mahallesi;23068
Küçükçekmece;Fevzi Çakmak Mahallesi;26474
Pendik;Fevzi Çakmak Mahallesi;38410
Bağcılar;Göztepe Mahallesi;40585
Beykoz;Göztepe Mahallesi;9388
Kadıköy;Göztepe Mahallesi;38613
Bağcılar;Güneşli Mahallesi;44823
Bağcılar;Hürriyet Mahallesi;25376
Bahçelievler;Hürriyet Mahallesi;44511
Büyükçekmece;Hürriyet Mahallesi;23034
Esenyurt;Hürriyet Mahallesi;28560
Gaziosmanpaşa;Hürriyet Mahallesi;27363
Kâğıthane;Hürriyet Mahallesi;20081
Kartal;Hürriyet Mahallesi;50253
Bağcılar;Kâzım Karabekir Mahallesi;26664
Esenler;Kazım Karabekir Mahallesi;33766
Gaziosmanpaşa;Kazım Karabekir Mahallesi;42953
Ümraniye;Kazım Karabekir Mahallesi;15745
Bağcılar;Kemalpaşa Mahallesi;31892
Fatih;Kemalpaşa Mahallesi;603
Küçükçekmece;Kemalpaşa Mahallesi;14351
Bağcılar;Kirazlı Mahallesi;39528
Bağcılar;Mahmutbey Mahallesi;25326
Bağcılar;Sancaktepe Mahallesi;19196
Bağcılar;Yenigün Mahallesi;20790
Bağcılar;Yenimahalle Mahallesi;33927
Bakırköy;Yenimahalle Mahallesi;6328
Büyükçekmece;Yenimahalle Mahallesi;2553
Bağcılar;Yıldıztepe Mahallesi;35884
Bahçelievler;Bahçelievler Mahallesi;57559
Büyükçekmece;Bahçelievler Mahallesi;4458
Pendik;Bahçelievler Mahallesi;12699
Üsküdar;Bahçelievler Mahallesi;23334
Bahçelievler;Çobançeşme Mahallesi;30609
Bahçelievler;Cumhuriyet Mahallesi;38835
Beykoz;Cumhuriyet Mahallesi;1966
Beylikdüzü;Cumhuriyet Mahallesi;26003
Büyükçekmece;Cumhuriyet Mahallesi;8404
Çekmeköy;Cumhuriyet Mahallesi;17235
Esenyurt;Cumhuriyet Mahallesi;14338
Kartal;Cumhuriyet Mahallesi;23697
Küçükçekmece;Cumhuriyet Mahallesi;52736
Sarıyer;Cumhuriyet Mahallesi;10765
Silivri;Cumhuriyet Mahallesi;9568
Şişli;Cumhuriyet Mahallesi;7541
Sultangazi;Cumhuriyet Mahallesi;14173
Üsküdar;Cumhuriyet Mahallesi;37895
Bahçelievler;Kocasinan Merkez Mahallesi;70475
Bahçelievler;Şirinevler Mahallesi;53894
Bahçelievler;Siyavuşpaşa Mahallesi;60059
Bahçelievler;Soğanlı Mahallesi;65254
Bahçelievler;Yenibosna Merkez Mahallesi;36763
Bahçelievler;Zafer Mahallesi;78856
Esenyurt;Zafer Mahallesi;22852
Bakırköy;Ataköy 1. Kısım Mahallesi;1573
Bakırköy;Ataköy 2-5-6. Kısım Mahallesi;14180
Bakırköy;Ataköy 3-4-11. Kısım Mahallesi;7672
Bakırköy;Ataköy 7-8-9-10. Kısım Mahallesi;26506
Bakırköy;Basınköy Mahallesi;5940
Bakırköy;Cevizlik Mahallesi;5108
Bakırköy;Kartaltepe Mahallesi;34866
Bayrampaşa;Kartaltepe Mahallesi;43124
Küçükçekmece;Kartaltepe Mahallesi;13560
Bakırköy;Osmaniye Mahallesi;22495
Bakırköy;Sakızağacı Mahallesi;8557
Bakırköy;Şenlikköy Mahallesi;27991
Bakırköy;Yeşilköy Mahallesi;24958
Bakırköy;Yeşilyurt Mahallesi;8393
Bakırköy;Zeytinlik Mahallesi;5097
Bakırköy;Zuhuratbaba Mahallesi;20229
Başakşehir;Altınşehir Mahallesi;26909
Ümraniye;Altınşehir Mahallesi;28476
Başakşehir;Bahçeşehir 1. Kısım Mahallesi;37332
Başakşehir;Bahçeşehir 2. Kısım Mahallesi;61602
Başakşehir;Başak Mahallesi;70658
Çatalca;Başak Mahallesi;422
Başakşehir;Başakşehir Mahallesi;71244
Başakşehir;Güvercintepe Mahallesi;76217
Başakşehir;Kayabaşı Mahallesi;112367
Başakşehir;Şahintepe Mahallesi;31567
Başakşehir;Şamlar Mahallesi;1248
Başakşehir;Ziya Gökalp Mahallesi;31210
Bayrampaşa;Altıntepsi Mahallesi;28855
Bayrampaşa;Cevatpaşa Mahallesi;18555
