ilce;mahalle;nufus
Gaziosmanpaşa;Yıldıztabya Mahallesi;23883
Güngören;Abdurrahman Nafiz Gürman Mahallesi;20864
Güngören;Akıncılar Mahallesi;18844
Güngören;Gençosman Mahallesi;41115
Güngören;Güneştepe Mahallesi;46642
Güngören;Güven Mahallesi;15026
Güngören;Haznedar Mahallesi;18782
Güngören;Mareşal Çakmak Mahallesi;28316
Güngören;Mehmet Nesih Özmen Mahallesi;8389
Güngören;Sanayi Mahallesi;11611
Pendik;Sanayi Mahallesi;2999
Güngören;Tozkoparan Mahallesi;13387
Kadıköy;Acıbadem Mahallesi;28600
Üsküdar;Acıbadem Mahallesi;23385
Kadıköy;Bostancı Mahallesi;32415
Kadıköy;Caddebostan Mahallesi;20209
Kadıköy;Caferağa Mahallesi;21350
Kadıköy;Dumlupınar Mahallesi;10170
Pendik;Dumlupınar Mahallesi;27106
Ümraniye;Dumlupınar Mahallesi;12050
Kadıköy;Eğitim Mahallesi;12988
Kadıköy;Erenköy Mahallesi;34438
Kadıköy;Fenerbahçe Mahallesi;20571
Kadıköy;Feneryolu Mahallesi;25300
Kadıköy;Fikirtepe Mahallesi;12305
Kadıköy;Hasanpaşa Mahallesi;15918
Sultanbeyli;Hasanpaşa Mahallesi;17403
Kadıköy;Koşuyolu Mahallesi;6660
Kadıköy;Kozyatağı Mahallesi;36873
Kadıköy;Merdivenköy Mahallesi;30620
Kadıköy;Osmanağa Mahallesi;7497
Kadıköy;Rasimpaşa Mahallesi;12086
Kadıköy;Sahrayıcedit Mahallesi;30112
Kadıköy;Suadiye Mahallesi;25697
Kadıköy;Zühtüpaşa Mahallesi;7903
Kâğıthane;Çağlayan Mahallesi;30545
Kâğıthane;Çeliktepe Mahallesi;31829
Kâğıthane;Gültepe Mahallesi;13819
Küçükçekmece;Gültepe Mahallesi;29102
Kâğıthane;Gürsel Mahallesi;29569
Kâğıthane;Harmantepe Mahallesi;21137
Kâğıthane;Nurtepe Mahallesi;26457
Kâğıthane;Ortabayır Mahallesi;22073
Kâğıthane;Seyrantepe Mahallesi;23745
Kâğıthane;Şirintepe Mahallesi;22049
Kâğıthane;Sultan Selim Mahallesi;35444
Kâğıthane;Telsizler Mahallesi;11251
Kâğıthane;Yahya Kemal Mahallesi;16716
Kâğıthane;Yeşilce Mahallesi;11789
Kartal;Atalar Mahallesi;31298
Kartal;Çavuşoğlu Mahallesi;14968
Kartal;Cevizli Mahallesi;25862
Maltepe;Cevizli Mahallesi;40777
Kartal;Karlıktepe Mahallesi;33479
Kartal;Kordonboyu Mahallesi;12639
Kartal;Orhantepe Mahallesi;26248
Kartal;Petrol İş Mahallesi;29166
Kartal;Soğanlık Yeni Mahallesi;28094
Kartal;Uğur Mumcu Mahallesi;40138
Sultangazi;Uğur Mumcu Mahallesi;41299
Kartal;Yakacık Çarşı Mahallesi;18348
Kartal;Yakacık Yeni Mahallesi;19509
Kartal;Yalı Mahallesi;12104
Maltepe;Yalı Mahallesi;12400
Kartal;Yukarı Mahallesi;7377
Kartal;Yunus Mahallesi;14461
Küçükçekmece;Atakent Mahallesi;105519
Ümraniye;Atakent Mahallesi;20188
Küçükçekmece;Beşyol Mahallesi;3638
Küçükçekmece;Cennet Mahallesi;28720
Küçükçekmece;Halkalı Merkez Mahallesi;80115
Küçükçekmece;İstasyon Mahallesi;43148
Tuzla;İstasyon Mahallesi;26338
Küçükçekmece;Kanarya Mahallesi;69146
Küçükçekmece;Söğütlü Çeşme Mahallesi;33564
Küçükçekmece;Sultan Murat Mahallesi;15551
Küçükçekmece;Tevfikbey Mahallesi;35312
Küçükçekmece;Yarımburgaz Mahallesi;8759
Küçükçekmece;Yeşilova Mahallesi;32433
Maltepe;Altayçeşme Mahallesi;32397
Maltepe;Altıntepe Mahallesi;30926
Maltepe;Aydınevler Mahallesi;21100
Maltepe;Başıbüyük Mahallesi;26229
Maltepe;Büyükbakkalköy Mahallesi;11514
Maltepe;Feyzullah Mahallesi;20217
Maltepe;Fındıklı Mahallesi;63583
Maltepe;Girne Mahallesi;19393
Maltepe;Gülensu Mahallesi;13736
Maltepe;Gülsuyu Mahallesi;14534
Maltepe;İdealtepe Mahallesi;24601
Maltepe;Küçükyalı Merkez Mahallesi;25192
Maltepe;Zümrütevler Mahallesi;88017
Pendik;Ahmet Yesevi Mahallesi;30930
Sultanbeyli;Ahmet Yesevi Mahallesi;29780
Pendik;Ballıca Mahallesi;582
Pendik;Batı Mahallesi;13505
Pendik;Çamçeşme Mahallesi;32025
Pendik;Çınardere Mahallesi;20956
Pendik;Doğu Mahallesi;15083
Pendik;Emirli Mahallesi;252
Pendik;Ertuğrul Gazi Mahallesi;12468
Pendik;Esenler Mahallesi;33358
Pendik;Esenyalı Mahallesi;14025
Pendik;Göçbeyli Mahallesi;1443
Pendik;Güllü Bağlar Mahallesi;19001
Pendik;Güzelyalı Mahallesi;33562
Pendik;Harmandere Mahallesi;9947
Pendik;Kavakpınar Mahallesi;65879
Pendik;Kurna Mahallesi;1154
Şile;Kurna Mahallesi;289
Pendik;Kurtdoğmuş Mahallesi;614
Pendik;Kurtköy Mahallesi;38756
Pendik;Orhangazi Mahallesi;28088
Sultanbeyli;Orhangazi Mahallesi;17565
Pendik;Ramazanoğlu Mahallesi;2427
Pendik;Sapan Bağları Mahallesi;12396
Pendik;Şeyhli Mahallesi;19684
Pendik;Sülüntepe Mahallesi;25520
Pendik;Velibaba Mahallesi;42389
Pendik;Yayalar Mahallesi;13555
Pendik;Yeni Mahallesi;15944
Sarıyer;Yeni Mahallesi;3260
Silivri;Yeni Mahallesi;46901
Pendik;Yeşilbağlar Mahallesi;6925
Sancaktepe;Abdurrahmangazi Mahallesi;48213
Sultanbeyli;Abdurrahmangazi Mahallesi;27523
Sancaktepe;Emek Mahallesi;27327
Sancaktepe;Eyüp Sultan Mahallesi;23874
Sancaktepe;Hilal Mahallesi;6071
Sancaktepe;Kemal Türkler Mahallesi;22554
Sancaktepe;Meclis Mahallesi;27588
Sancaktepe;Merve Mahallesi;21319
Sancaktepe;Paşaköy Mahallesi;1758
Sancaktepe;Safa Mahallesi;24884
Sancaktepe;Sarıgazi Mahallesi;23803
Sancaktepe;Veysel Karani Mahallesi;26644
Sarıyer;Ayazağa Mahallesi;34606
Sarıyer;Bahçeköy Kemer Mahallesi;2231
Sarıyer;Bahçeköy Merkez Mahallesi;3609
Sarıyer;Baltalimanı Mahallesi;5043
Sarıyer;Büyükdere Mahallesi;8239
Sarıyer;Çamlıtepe Mahallesi;5680
Sarıyer;Çayırbaşı Mahallesi;4690
Şile;Çayırbaşı Mahallesi;1411
Sarıyer;Darüşşafaka Mahallesi;8958
Sarıyer;Demirciköy Mahallesi;1698
Sarıyer;Emirgan Mahallesi;8052
Sarıyer;Fatih Sultan Mehmet Mahallesi;15702
Ümraniye;Fatih Sultan Mehmet Mahallesi;4690
Sarıyer;Ferahevler Mahallesi;15128
Sarıyer;Garipçe Mahallesi;370
Sarıyer;Gümüşdere Mahallesi;2519
Sarıyer;Huzur Mahallesi;8195
Ümraniye;Huzur Mahallesi;12101
Sarıyer;İstinye Mahallesi;15574
Sarıyer;Kazım Karabekir Paşa Mahallesi;7787
Sarıyer;Kireçburnu Mahallesi;6592
Sarıyer;Kısırkaya Mahallesi;378
Sarıyer;Kocataş Mahallesi;4492
Sarıyer;Kumköy (Kilyos) Mahallesi;3940
Sarıyer;Maslak Mahallesi;13153
Sarıyer;Poligon Mahallesi;6225
Sarıyer;PTT Evleri Mahallesi;5213
Sarıyer;Reşitpaşa Mahallesi;16014
Sarıyer;Rumelifeneri Mahallesi;4074
Sarıyer;Rumelihisarı Mahallesi;9244
Sarıyer;Rumelikavağı Mahallesi;3560
Sarıyer;Sarıyer Merkez Mahallesi;11571
Sarıyer;Tarabya Mahallesi;17598
Sarıyer;Uskumruköy Mahallesi;10197
Sarıyer;Zekeriyaköy Mahallesi;23549
Şile;Ağaçdere Mahallesi;123
Şile;Ağva Merkez Mahallesi;2190
Şile;Ahmetli Mahallesi;3330
Şile;Akçakese Mahallesi;519
Şile;Alacalı Mahallesi;679
Şile;Avcıkoru Mahallesi;143
Şile;Balibey Mahallesi;4034
Şile;Bıçkıdere Mahallesi;372
Şile;Bozgoca Mahallesi;124
Şile;Bucaklı Mahallesi;393
Şile;Çataklı Mahallesi;245
Şile;Çavuş Mahallesi;12836
Şile;Çelebi Mahallesi;266
Şile;Çengilli Mahallesi;222
Şile;Darlık Mahallesi;185
Şile;Doğancılı Mahallesi;898
Şile;Erenler Mahallesi;138
Şile;Esenceli Mahallesi;100
Şile;Geredeli Mahallesi;745
Şile;Göçe Mahallesi;853
Şile;Gökmaşlı Mahallesi;229
Şile;Hacı Kasım Mahallesi;1070
Şile;Hacıllı Mahallesi;280
Şile;Hasanlı Mahallesi;298
Şile;İmrendere Mahallesi;453
Şile;İmrenli Mahallesi;408
Şile;İsaköy Mahallesi;280
Şile;Kabakoz Mahallesi;791
Şile;Kadıköy Mahallesi;280
Silivri;Kadıköy Mahallesi;1412
Şile;Kalem Mahallesi;362
Şile;Karabeyli Mahallesi;247
Şile;Karacaköy Mahallesi;355
Şile;Karakiraz Mahallesi;313
Şile;Kervansaray Mahallesi;471
Şile;Kömürlük Mahallesi;245
Şile;Korucu Mahallesi;247
Şile;Kumbaba Mahallesi;1634
Şile;Kurfallı Mahallesi;346
Silivri;Kurfallı Mahallesi;537
Şile;Meşrutiyet Mahallesi;2257
Şişli;Meşrutiyet Mahallesi;7040
Şile;Oruçoğlu Mahallesi;458
Şile;Osmanköy Mahallesi;300
Şile;Ovacık Mahallesi;173
Şile;Sahilköy Mahallesi;1068
Şile;Satmazlı Mahallesi;544
Şile;Sofular Mahallesi;333
Şile;Soğullu Mahallesi;196
Şile;Sortullu Mahallesi;158
Şile;Şuayipli Mahallesi;303
Şile;Teke Mahallesi;521
Şile;Ulupelit Mahallesi;228
Şile;Üvezli Mahallesi;568
Şile;Yaka Mahallesi;354
Şile;Yaylalı Mahallesi;73
Şile;Yazımanayır Mahallesi;201
Şile;Yeşilvadi Mahallesi;317
Silivri;Akören Mahallesi;1404
Silivri;Alibey Mahallesi;17287
Silivri;Alipaşa Mahallesi;1012
Silivri;Bekirli Mahallesi;222
Silivri;Beyciler Mahallesi;1394
Silivri;Büyük Çavuşlu Mahallesi;3250
Silivri;Büyük Kılıçlı Mahallesi;1276
Silivri;Büyük Sinekli Mahallesi;416
Silivri;Çanta Balaban Mahallesi;4578
Silivri;Çanta Sancaktepe Mahallesi;6363
Silivri;Çayırdere Mahallesi;1420
Silivri;Çeltik Mahallesi;1068
Silivri;Danamandıra Mahallesi;1115
Silivri;Değirmenköy Fevzipaşa Mahallesi;3623
Silivri;Değirmenköy İsmetpaşa Mahallesi;3411
Silivri;Fener Mahallesi;1484
Silivri;Gazitepe Mahallesi;1231
Silivri;Gümüşyaka Mahallesi;9711
Silivri;Kavaklı Hürriyet Mahallesi;1756
Silivri;Kavaklı İstiklal Mahallesi;2019
Silivri;Küçük Kılıçlı Mahallesi;320
Silivri;Küçük Sinekli Mahallesi;140
Silivri;Piri Mehmet Paşa Mahallesi;7902
Silivri;Sayalar Mahallesi;897
Silivri;Selimpaşa Mahallesi;24664
Silivri;Semizkumlar Mahallesi;34187
Silivri;Seymen Mahallesi;1032
Silivri;Yolçatı Mahallesi;392
Şişli;Bozkurt Mahallesi;9736
Şişli;Duatepe Mahallesi;7542
Şişli;Ergenekon Mahallesi;2253
Şişli;Eskişehir Mahallesi;11247
Şişli;Feriköy Mahallesi;13458
Şişli;Fulya Mahallesi;16416
Şişli;Gülbahar Mahallesi;22983
Şişli;Halaskargazi Mahallesi;1607
Şişli;Halide Edip Adıvar Mahallesi;16632
Şişli;Halil Rıfat Paşa Mahallesi;6729
Şişli;Harbiye Mahallesi;2339
Şişli;Kuştepe Mahallesi;15339
Şişli;Mahmut Şevket Paşa Mahallesi;17999
Şişli;Mecidiyeköy Mahallesi;18926
Şişli;Paşa Mahallesi;18833
Şişli;Teşvikiye Mahallesi;10631
Şişli;Yayla Mahallesi;11269
Sultangazi;Yayla Mahallesi;7963
Tuzla;Yayla Mahallesi;30538
Sultanbeyli;Adil Mahallesi;36062
Sultanbeyli;Necip Fazıl Mahallesi;22951
Ümraniye;Necip Fazıl Mahallesi;28856
Sultangazi;50. Yıl Mahallesi;69818
Sultangazi;75. Yıl Mahallesi;31726
Sultangazi;Cebeci Mahallesi;59635
Sultangazi;Eski Habipler Mahallesi;13811
Sultangazi;Gazi Mahallesi;34866
Sultangazi;Habibler Mahallesi;7988
Sultangazi;İsmetpaşa Mahallesi;54197
Sultangazi;Malkoçoğlu Mahallesi;13077
Sultangazi;Zübeyde Hanım Mahallesi;31350
Tuzla;Akfırat Mahallesi;2868
Tuzla;Aydınlı Mahallesi;72942
Tuzla;Aydıntepe Mahallesi;27173
Tuzla;Cami Mahallesi;5996
Tuzla;İçmeler Mahallesi;11427
Tuzla;Mescit Mahallesi;5227
Tuzla;Orhanlı Mahallesi;1933
Tuzla;Postane Mahallesi;21328
Tuzla;Şifa Mahallesi;32095
Tuzla;Tepeören Mahallesi;7185
Ümraniye;Adem Yavuz Mahallesi;16756
Ümraniye;Armağanevler Mahallesi;39743
Ümraniye;Aşağı Dudullu Mahallesi;15124
Ümraniye;Çakmak Mahallesi;38141
Ümraniye;Cemil Meriç Mahallesi;21788
Ümraniye;Elmalıkent Mahallesi;22295
Ümraniye;Esenevler Mahallesi;26204
Ümraniye;Esenşehir Mahallesi;20595
Ümraniye;Finanskent Mahallesi;8450
Ümraniye;Hekimbaşı Mahallesi;7411
Ümraniye;Ihlamurkuyu Mahallesi;15771
Ümraniye;İnkılap Mahallesi;36091
Ümraniye;Madenler Mahallesi;15930
Ümraniye;Parseller Mahallesi;15874
Ümraniye;Şerifali Mahallesi;9495
Ümraniye;Site Mahallesi;21574
Ümraniye;Tantavi Mahallesi;11820
Ümraniye;Tatlısu Mahallesi;23294
Ümraniye;Tepeüstü Mahallesi;13349
Ümraniye;Topağacı Mahallesi;13693
Ümraniye;Yamanevler Mahallesi;18304
Ümraniye;Yukarı Dudullu Mahallesi;21482
Üsküdar;Altunizade Mahallesi;12129
Üsküdar;Aziz Mahmut Hüdayi Mahallesi;8246
Üsküdar;Beylerbeyi Mahallesi;5106
Üsküdar;Bulgurlu Mahallesi;30494
Üsküdar;Burhaniye Mahallesi;16290
Üsküdar;Çengelköy Mahallesi;13447
Üsküdar;Ferah Mahallesi;21661
Üsküdar;İcadiye Mahallesi;15624
Üsküdar;Kandilli Mahallesi;1398
Üsküdar;Kirazlıtepe Mahallesi;9060
Üsküdar;Kısıklı Mahallesi;20195
Üsküdar;Küçük Çamlıca Mahallesi;11066
Üsküdar;Küçüksu Mahallesi;18345
Üsküdar;Kuleli Mahallesi;4092
Üsküdar;Küplüce Mahallesi;16782
Üsküdar;Kuzguncuk Mahallesi;3906
Üsküdar;Muratreis Mahallesi;13558
Üsküdar;Salacak Mahallesi;9358
Üsküdar;Selami Ali Mahallesi;13101
Üsküdar;Selimiye Mahallesi;7922
Üsküdar;Sultantepe Mahallesi;10647
Üsküdar;Ünalan Mahallesi;34746
Üsküdar;Yavuztürk Mahallesi;31227
Üsküdar;Zeynep Kamil Mahallesi;11765
Zeytinburnu;Beştelsiz Mahallesi;20761
Zeytinburnu;Çırpıcı Mahallesi;25915
Zeytinburnu;Gökalp Mahallesi;18543
Zeytinburnu;Kazlıçeşme Mahallesi;5240
Zeytinburnu;Maltepe Mahallesi;9948
Zeytinburnu;Merkezefendi Mahallesi;23894
Zeytinburnu;Nuripaşa Mahallesi;26343
Zeytinburnu;Seyitnizam Mahallesi;22028
Zeytinburnu;Sümer Mahallesi;38071
Zeytinburnu;Telsiz Mahallesi;33905
Zeytinburnu;Veliefendi Mahallesi;24431
Zeytinburnu;Yeşiltepe Mahallesi;19633
Sarıyer;Bahçeköy Yeni Mahalle;4968
Şile;Değirmen Çayırı Mahallesi;604
Kâğıthane;Emniyetevleri Mahallesi;8457
Fatih;Hırka-i Şerif Mahallesi;20257
Beyoğlu;Kadı Mehmet Efendi Mahallesi;8957
Beyoğlu;Katip Mustafa Çelebi Mahallesi;728
Beyoğlu;Kemankeş Karamustafa Paşa Mahallesi;115
Şile;Kızılcaköy Mahallesi;696
Beyoğlu;Müeyyedzade Mahallesi;465
Beyoğlu;Piri Paşa Mahallesi;15376
Kartal;Topselvi Mahalesi;12580
Üsküdar;Valide-i Atik Mahallesi;19895
Şişli;İzzetpaşa Mahallesi;7595
Eyüpsultan;5. Levent Mahallesi;12279
